year,week,region,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp
2013.0,34,West,1.8,,,,44.6,32.8,1,28.803571428571427,10.907142857142857,25.2
2013.0,35,Central,118.8,,,,48.6,34.0,1,28.18095238095238,6.79047619047619,21.6
2013.0,35,East,40.6,,,,59.0,33.0,1,28.295238095238098,9.585714285714285,24.4
2013.0,35,North,350.4,,,,49.3,34.3,1,27.59220779220779,6.576623376623377,20.0
2013.0,35,West,42.4,,,,45.7,33.0,1,28.485714285714288,10.142857142857142,23.1
2013.0,36,Central,530.2,,,,43.6,32.4,1,26.54285714285714,5.314285714285714,21.9
2013.0,36,East,433.59999999999997,,,,49.3,32.9,1,26.70952380952381,7.596428571428571,21.9
2013.0,36,North,1590.7,,,,52.6,33.4,1,26.12987012987013,5.485714285714286,21.3
2013.0,36,West,414.6,,,,76.7,31.4,1,27.11785714285714,10.0,22.4
2013.0,37,Central,160.0,,,,45.4,32.7,1,27.4,6.376190476190477,22.8
2013.0,37,East,200.9,,,,47.5,32.1,1,27.485714285714288,8.614285714285714,23.2
2013.0,37,North,668.3000000000001,,,,46.8,33.0,1,27.013157894736842,6.525974025974026,22.3
2013.0,37,West,273.4,,,,57.6,32.6,1,27.77857142857143,11.164285714285715,22.7
2013.0,38,Central,35.0,,,,41.8,34.3,1,28.66190476190476,6.485714285714285,24.0
2013.0,38,East,39.099999999999994,,,,40.3,32.8,1,28.704761904761902,10.5,22.8
2013.0,38,North,35.7,,,,38.9,34.4,1,28.43896103896104,6.95974025974026,23.1
2013.0,38,West,28.4,,,,49.0,33.0,1,28.789285714285715,10.403571428571428,24.9
2013.0,39,Central,154.6,,,,52.2,34.1,1,28.29047619047619,6.057142857142857,22.6
2013.0,39,East,462.3,,,,52.6,33.5,1,28.323809523809523,9.060714285714285,21.9
2013.0,39,North,884.9,,,,65.5,35.0,1,27.832467532467533,6.28961038961039,21.8
2013.0,39,West,200.6,,,,74.5,33.0,1,28.52857142857143,9.542857142857143,22.3
2013.0,40,Central,121.8,,,,52.2,33.8,1,27.895238095238092,6.1,21.5
2013.0,40,East,79.9,,,,65.5,33.4,1,28.05714285714286,9.532142857142857,22.3
2013.0,40,North,386.3,,,,70.2,34.1,1,27.73157894736842,6.6337662337662335,21.9
2013.0,40,West,159.6,,,,77.8,32.8,1,28.282142857142855,10.35,22.7
2013.0,41,Central,235.8,,,,52.6,33.7,1,28.104761904761908,6.152380952380952,22.4
2013.0,41,East,312.3,,,,50.0,34.3,1,28.366666666666667,8.364285714285714,22.4
2013.0,41,North,518.1,,,,53.6,34.9,1,27.827397260273973,6.293506493506494,22.1
