,year,eweek,type_dengue,number
348,2017,16,Dengue,51.0
350,2017,17,Dengue,37.0
352,2017,18,Dengue,40.0
354,2017,19,Dengue,48.0
356,2017,20,Dengue,48.0
358,2017,21,Dengue,50.0
360,2017,22,Dengue,66.0
362,2017,23,Dengue,62.0
364,2017,24,Dengue,78.0
366,2017,25,Dengue,73.0
368,2017,26,Dengue,75.0
370,2017,27,Dengue,63.0
372,2017,28,Dengue,53.0
374,2017,29,Dengue,51.0
376,2017,30,Dengue,65.0
378,2017,31,Dengue,60.0
380,2017,32,Dengue,56.0
382,2017,33,Dengue,51.0
384,2017,34,Dengue,51.0
386,2017,35,Dengue,33.0
388,2017,36,Dengue,40.0
390,2017,37,Dengue,53.0
392,2017,38,Dengue,58.0
394,2017,39,Dengue,39.0
396,2017,40,Dengue,51.0
398,2017,41,Dengue,55.0
400,2017,42,Dengue,62.0
402,2017,43,Dengue,77.0
404,2017,44,Dengue,62.0
406,2017,45,Dengue,44.0
408,2017,46,Dengue,50.0
410,2017,47,Dengue,24.0
412,2017,48,Dengue,37.0
414,2017,49,Dengue,33.0
416,2017,50,Dengue,40.0
418,2017,51,Dengue,51.0
420,2017,52,Dengue,66.0
422,2017,53,Dengue,
424,2018,1,Dengue,83.0
426,2018,2,Dengue,68.0
428,2018,3,Dengue,54.0
430,2018,4,Dengue,45.0
432,2018,5,Dengue,48.0
434,2018,6,Dengue,50.0
436,2018,7,Dengue,28.0
438,2018,8,Dengue,38.0
440,2018,9,Dengue,51.0
442,2018,10,Dengue,37.0
444,2018,11,Dengue,37.0
446,2018,12,Dengue,36.0
448,2018,13,Dengue,24.0
450,2018,14,Dengue,38.0
452,2018,15,Dengue,38.0
454,2018,16,Dengue,56.0
456,2018,17,Dengue,55.0
458,2018,18,Dengue,74.0
460,2018,19,Dengue,62.0
462,2018,20,Dengue,63.0
464,2018,21,Dengue,64.0
466,2018,22,Dengue,52.0
468,2018,23,Dengue,75.0
470,2018,24,Dengue,55.0
472,2018,25,Dengue,59.0
474,2018,26,Dengue,75.0
476,2018,27,Dengue,56.0
478,2018,28,Dengue,44.0
480,2018,29,Dengue,41.0
482,2018,30,Dengue,56.0
484,2018,31,Dengue,50.0
486,2018,32,Dengue,59.0
488,2018,33,Dengue,42.0
490,2018,34,Dengue,66.0
492,2018,35,Dengue,75.0
494,2018,36,Dengue,75.0
496,2018,37,Dengue,49.0
498,2018,38,Dengue,63.0
500,2018,39,Dengue,40.0
502,2018,40,Dengue,51.0
504,2018,41,Dengue,51.0
506,2018,42,Dengue,60.0
508,2018,43,Dengue,78.0
510,2018,44,Dengue,74.0
512,2018,45,Dengue,71.0
514,2018,46,Dengue,78.0
516,2018,47,Dengue,97.0
518,2018,48,Dengue,109.0
520,2018,49,Dengue,113.0
522,2018,50,Dengue,107.0
524,2018,51,Dengue,127.0
526,2018,52,Dengue,160.0
528,2018,53,Dengue,
