year,week,date,region_n,avg_value
2015,22,2015-05-25,CENTRAL REGION,83.20328466977637
2015,23,2015-06-01,CENTRAL REGION,83.20328466977637
2015,24,2015-06-08,CENTRAL REGION,83.20328466977637
2015,25,2015-06-15,CENTRAL REGION,83.20328466977637
2015,26,2015-06-22,CENTRAL REGION,83.20328466977637
2015,27,2015-06-29,CENTRAL REGION,83.20328466977637
2015,28,2015-07-06,CENTRAL REGION,83.20328466977637
2015,29,2015-07-13,CENTRAL REGION,83.20328466977637
2015,30,2015-07-20,CENTRAL REGION,83.20328466977637
2015,31,2015-07-27,CENTRAL REGION,83.20328466977637
2015,32,2015-08-03,CENTRAL REGION,83.20328466977637
2015,33,2015-08-10,CENTRAL REGION,83.20328466977637
2015,34,2015-08-17,CENTRAL REGION,83.20328466977637
2015,35,2015-08-24,CENTRAL REGION,83.20328466977637
2015,36,2015-08-31,CENTRAL REGION,83.20328466977637
2015,37,2015-09-07,CENTRAL REGION,83.20328466977637
2015,38,2015-09-14,CENTRAL REGION,83.20328466977637
2015,39,2015-09-21,CENTRAL REGION,83.20328466977637
2015,40,2015-09-28,CENTRAL REGION,83.20328466977637
2015,41,2015-10-05,CENTRAL REGION,83.20328466977637
2015,42,2015-10-12,CENTRAL REGION,83.20328466977637
2015,43,2015-10-19,CENTRAL REGION,83.20328466977637
2015,44,2015-10-26,CENTRAL REGION,83.20328466977637
2015,45,2015-11-02,CENTRAL REGION,83.20328466977637
2015,46,2015-11-09,CENTRAL REGION,83.20328466977637
2015,47,2015-11-16,CENTRAL REGION,83.20328466977637
2015,48,2015-11-23,CENTRAL REGION,83.20328466977637
2015,49,2015-11-30,CENTRAL REGION,83.20328466977637
2015,50,2015-12-07,CENTRAL REGION,83.20328466977637
2015,51,2015-12-14,CENTRAL REGION,83.20328466977637
2015,52,2015-12-21,CENTRAL REGION,83.20328466977637
2015,53,2015-12-28,CENTRAL REGION,83.20328466977637
2016,53,2017-01-02,CENTRAL REGION,83.20328466977637
2016,1,2016-01-04,CENTRAL REGION,73.91454545454545
2016,2,2016-01-11,CENTRAL REGION,73.91454545454545
2016,3,2016-01-18,CENTRAL REGION,73.91454545454545
2016,4,2016-01-25,CENTRAL REGION,73.91454545454545
2016,5,2016-02-01,CENTRAL REGION,73.91454545454545
2016,6,2016-02-08,CENTRAL REGION,73.91454545454545
2016,7,2016-02-15,CENTRAL REGION,73.91454545454545
2016,8,2016-02-22,CENTRAL REGION,73.91454545454545
2016,9,2016-02-29,CENTRAL REGION,73.91454545454545
2016,10,2016-03-07,CENTRAL REGION,73.91454545454545
2016,11,2016-03-14,CENTRAL REGION,73.91454545454545
2016,12,2016-03-21,CENTRAL REGION,73.91454545454545
2016,13,2016-03-28,CENTRAL REGION,73.91454545454545
2016,14,2016-04-04,CENTRAL REGION,73.91454545454545
2016,15,2016-04-11,CENTRAL REGION,73.91454545454545
2016,16,2016-04-18,CENTRAL REGION,73.91454545454545
2016,17,2016-04-25,CENTRAL REGION,73.91454545454545
2016,18,2016-05-02,CENTRAL REGION,73.91454545454545
2016,19,2016-05-09,CENTRAL REGION,73.91454545454545
2016,20,2016-05-16,CENTRAL REGION,73.91454545454545
2016,21,2016-05-23,CENTRAL REGION,75.6785142467677
