Week,Dengue fever: (Singapore),Dengue: (Singapore),Mosquito: (Singapore),Insect repellent: (Singapore)
10/11/2019,11,11,8,3
17/11/2019,11,11,7,2
24/11/2019,11,10,8,2
1/12/2019,7,7,7,2
8/12/2019,7,7,7,1
15/12/2019,7,7,9,2
22/12/2019,10,9,7,2
29/12/2019,9,8,8,2
5/1/2020,10,9,8,2
12/1/2020,13,12,9,2
19/1/2020,9,8,6,1
26/1/2020,9,8,9,2
2/2/2020,8,7,7,2
9/2/2020,17,16,9,3
16/2/2020,16,16,11,3
23/2/2020,12,11,8,2
1/3/2020,12,11,8,3
8/3/2020,10,10,9,3
15/3/2020,9,8,7,2
22/3/2020,12,12,9,3
29/3/2020,8,8,8,3
5/4/2020,7,6,9,2
12/4/2020,7,6,8,2
19/4/2020,10,10,12,2
26/4/2020,8,8,12,3
3/5/2020,8,7,12,4
10/5/2020,12,11,14,4
17/5/2020,11,10,13,3
24/5/2020,12,11,12,3
31/5/2020,18,17,15,4
7/6/2020,23,22,18,4
14/6/2020,27,26,19,4
21/6/2020,30,29,20,5
28/6/2020,26,25,20,5
5/7/2020,24,23,16,5
12/7/2020,28,27,18,4
19/7/2020,36,34,19,5
26/7/2020,28,26,16,6
2/8/2020,30,28,16,5
9/8/2020,24,22,15,4
16/8/2020,21,20,15,4
23/8/2020,20,19,12,3
30/8/2020,17,16,13,4
6/9/2020,14,13,10,3
13/9/2020,12,12,11,3
20/9/2020,12,11,8,2
27/9/2020,11,10,9,4
4/10/2020,9,8,10,3
11/10/2020,10,10,10,3
18/10/2020,8,9,8,3
25/10/2020,7,7,10,2
1/11/2020,6,6,6,1
