Week,Dengue fever: (Singapore),Dengue: (Singapore),Mosquito: (Singapore),Insect repellent: (Singapore)
26/5/2013,33,30,10,2
2/6/2013,29,28,9,3
9/6/2013,56,52,18,4
16/6/2013,42,39,14,2
23/6/2013,25,23,8,2
30/6/2013,26,24,9,3
7/7/2013,18,17,8,1
14/7/2013,16,16,8,3
21/7/2013,14,13,8,2
28/7/2013,12,11,9,1
4/8/2013,11,9,9,2
11/8/2013,13,13,8,0
18/8/2013,12,11,7,2
25/8/2013,11,11,7,<1
1/9/2013,9,9,5,1
8/9/2013,12,11,6,2
15/9/2013,11,10,6,1
22/9/2013,9,8,5,1
29/9/2013,15,13,5,2
6/10/2013,13,13,6,1
13/10/2013,11,10,8,1
20/10/2013,15,15,7,2
27/10/2013,12,11,5,2
3/11/2013,12,11,7,2
10/11/2013,12,11,6,1
17/11/2013,13,13,9,1
24/11/2013,11,10,6,2
1/12/2013,11,9,6,2
8/12/2013,9,9,6,1
15/12/2013,10,10,5,2
22/12/2013,9,8,6,2
29/12/2013,9,8,7,2
5/1/2014,12,11,5,2
12/1/2014,11,10,4,1
19/1/2014,9,8,4,1
26/1/2014,7,6,7,1
2/2/2014,7,8,8,2
9/2/2014,10,9,13,3
16/2/2014,8,9,12,2
23/2/2014,9,9,20,4
2/3/2014,10,8,20,4
9/3/2014,6,6,19,2
16/3/2014,6,5,12,1
23/3/2014,7,6,8,2
30/3/2014,8,7,13,2
6/4/2014,6,5,8,2
13/4/2014,7,7,9,3
20/4/2014,8,8,10,2
27/4/2014,9,8,10,1
4/5/2014,5,6,10,2
11/5/2014,7,7,9,3
18/5/2014,8,7,9,2
25/5/2014,9,9,10,1
1/6/2014,8,7,9,3
8/6/2014,10,10,7,2
15/6/2014,12,10,8,2
22/6/2014,11,9,10,2
29/6/2014,14,13,9,2
6/7/2014,19,18,8,1
13/7/2014,17,15,8,1
20/7/2014,18,15,11,1
27/7/2014,14,12,8,2
3/8/2014,15,14,9,1
10/8/2014,14,13,9,2
17/8/2014,15,14,8,1
24/8/2014,12,11,10,2
31/8/2014,11,9,6,1
7/9/2014,8,8,8,2
14/9/2014,8,8,8,2
21/9/2014,7,6,6,4
28/9/2014,9,9,5,2
5/10/2014,7,6,4,1
12/10/2014,6,6,6,1
19/10/2014,8,7,6,1
26/10/2014,8,8,7,2
2/11/2014,5,4,5,1
9/11/2014,6,6,5,2
16/11/2014,6,6,5,1
23/11/2014,8,6,5,2
30/11/2014,6,6,5,1
7/12/2014,6,5,6,1
14/12/2014,5,5,6,1
21/12/2014,4,4,4,2
28/12/2014,7,5,5,1
4/1/2015,5,5,5,2
11/1/2015,7,7,5,1
18/1/2015,5,5,5,2
25/1/2015,7,7,7,2
1/2/2015,6,5,6,1
8/2/2015,4,4,5,1
15/2/2015,6,4,3,0
22/2/2015,6,6,5,1
1/3/2015,5,4,7,1
8/3/2015,7,6,8,2
15/3/2015,6,6,7,1
22/3/2015,5,5,5,2
29/3/2015,4,4,6,1
5/4/2015,7,6,7,2
12/4/2015,6,5,6,2
19/4/2015,7,6,6,2
26/4/2015,6,4,7,1
3/5/2015,5,5,9,2
10/5/2015,7,7,6,2
17/5/2015,8,6,6,1
24/5/2015,7,5,5,2
31/5/2015,6,6,7,1
7/6/2015,6,6,6,2
14/6/2015,7,7,7,3
21/6/2015,8,8,8,2
28/6/2015,8,7,7,2
5/7/2015,7,7,6,2
12/7/2015,9,7,7,1
19/7/2015,8,7,7,2
26/7/2015,7,6,5,2
2/8/2015,5,6,7,1
9/8/2015,5,6,6,1
16/8/2015,6,6,7,1
23/8/2015,6,5,7,1
30/8/2015,5,5,6,2
6/9/2015,6,6,5,1
13/9/2015,7,6,6,2
20/9/2015,7,5,5,1
27/9/2015,8,7,8,1
4/10/2015,7,7,6,1
11/10/2015,6,4,6,3
18/10/2015,7,6,7,1
25/10/2015,6,6,5,1
1/11/2015,8,6,6,1
8/11/2015,6,5,7,1
15/11/2015,7,6,7,3
22/11/2015,7,6,6,2
29/11/2015,6,6,7,2
6/12/2015,7,7,5,2
13/12/2015,11,10,8,3
20/12/2015,6,6,9,2
27/12/2015,11,9,8,2
3/1/2016,16,14,8,2
10/1/2016,14,13,6,3
17/1/2016,13,12,11,2
24/1/2016,19,17,12,2
31/1/2016,17,16,16,5
7/2/2016,17,14,9,3
14/2/2016,17,16,7,2
21/2/2016,14,13,8,3
28/2/2016,13,12,8,2
6/3/2016,11,10,7,2
13/3/2016,11,10,8,1
20/3/2016,8,8,7,2
27/3/2016,10,10,7,1
3/4/2016,10,10,7,2
10/4/2016,10,9,8,3
17/4/2016,8,7,7,3
24/4/2016,7,6,5,1
1/5/2016,7,6,7,2
8/5/2016,9,8,8,1
15/5/2016,6,6,10,3
22/5/2016,8,7,8,3
29/5/2016,8,8,9,2
5/6/2016,9,8,7,2
12/6/2016,7,7,9,2
19/6/2016,8,7,8,1
26/6/2016,9,8,9,2
3/7/2016,7,7,7,3
10/7/2016,9,9,7,1
17/7/2016,8,8,6,3
24/7/2016,9,8,8,1
31/7/2016,10,9,8,3
7/8/2016,6,5,6,2
14/8/2016,7,7,6,2
21/8/2016,6,5,5,2
28/8/2016,17,16,100,57
4/9/2016,12,11,52,28
11/9/2016,9,10,25,8
18/9/2016,8,8,16,6
25/9/2016,6,5,10,3
2/10/2016,7,6,6,2
9/10/2016,10,7,10,3
16/10/2016,5,5,7,2
23/10/2016,5,5,8,2
30/10/2016,5,4,7,<1
6/11/2016,4,3,5,1
13/11/2016,3,3,8,1
20/11/2016,5,4,6,2
27/11/2016,4,3,7,2
4/12/2016,3,2,5,2
11/12/2016,4,3,7,1
18/12/2016,2,2,5,1
25/12/2016,4,4,6,1
1/1/2017,5,5,6,2
8/1/2017,4,4,4,1
15/1/2017,4,4,5,1
22/1/2017,4,3,6,1
29/1/2017,5,3,7,1
5/2/2017,5,4,6,1
12/2/2017,3,2,6,3
19/2/2017,4,3,7,2
26/2/2017,4,4,5,2
5/3/2017,4,3,6,1
12/3/2017,5,4,5,2
19/3/2017,4,3,7,2
26/3/2017,3,3,7,3
2/4/2017,7,5,8,3
9/4/2017,4,2,7,1
16/4/2017,4,3,8,2
23/4/2017,4,4,6,2
30/4/2017,5,5,6,2
7/5/2017,4,5,8,1
14/5/2017,4,4,8,1
21/5/2017,5,5,6,1
28/5/2017,6,5,7,2
4/6/2017,4,4,5,2
11/6/2017,4,4,7,1
18/6/2017,3,3,5,1
25/6/2017,4,4,6,2
2/7/2017,5,4,7,3
9/7/2017,5,5,5,1
16/7/2017,5,5,7,1
23/7/2017,4,4,6,1
30/7/2017,3,3,6,2
6/8/2017,3,3,6,2
13/8/2017,4,4,6,1
20/8/2017,4,4,6,2
27/8/2017,3,2,7,1
3/9/2017,3,3,6,2
10/9/2017,4,3,6,2
17/9/2017,5,3,7,1
24/9/2017,4,4,6,3
1/10/2017,4,3,7,2
8/10/2017,4,3,6,2
15/10/2017,5,6,6,2
22/10/2017,4,4,6,2
29/10/2017,4,5,5,1
5/11/2017,4,4,6,2
