Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,8,1,0.2,—,—,—,27.6,30.2,23.1,11.3,40.7
Jurong Island,2013,8,2,0,—,—,—,27.6,29.9,25.5,10.4,40.3
Jurong Island,2013,8,3,0,—,—,—,29.2,31.7,27.3,11.3,30.6
Jurong Island,2013,8,4,2,—,—,—,28.3,30.2,26.7,12,44.3
Jurong Island,2013,8,5,35.2,—,—,—,26.9,29,22.5,13.2,40
Jurong Island,2013,8,6,1.8,—,—,—,28.6,31.4,26.5,6.4,30.6
Jurong Island,2013,8,7,1.2,—,—,—,28.4,31.8,26,10.1,35.3
Jurong Island,2013,8,8,0,—,—,—,27.4,29.1,24.4,10.8,39.2
Jurong Island,2013,8,9,0.6,—,—,—,28.3,31.9,26.7,13.6,29.9
Jurong Island,2013,8,10,9.4,—,—,—,27.6,31.6,24.3,8.8,38.5
Jurong Island,2013,8,11,12.4,—,—,—,27,30.4,22.6,6.5,45.7
Jurong Island,2013,8,12,4,—,—,—,27.4,31,23.2,8.6,28.4
Jurong Island,2013,8,13,0.6,—,—,—,26.9,28.3,22.7,11.1,35.6
Jurong Island,2013,8,14,25.4,—,—,—,27.8,29.4,24.6,11.1,29.5
Jurong Island,2013,8,15,0,—,—,—,28.8,31.6,27.4,12.1,31
Jurong Island,2013,8,16,0,—,—,—,28.2,30.6,26.9,12.3,34.2
Jurong Island,2013,8,17,0,—,—,—,28.3,31.1,27,9.7,31
Jurong Island,2013,8,18,0,—,—,—,28.3,30.5,26.9,9.8,29.9
Jurong Island,2013,8,19,0,—,—,—,28.6,31.6,26.5,9.9,29.9
Jurong Island,2013,8,20,0,—,—,—,28.1,31.3,26.5,6.3,32
Jurong Island,2013,8,21,0,—,—,—,28.5,30.9,27,11.6,35.3
Jurong Island,2013,8,22,0,—,—,—,28.9,31.9,26.3,12.3,44.6
Jurong Island,2013,8,23,0,—,—,—,29,31.2,27.5,12.3,35.3
Jurong Island,2013,8,24,0,—,—,—,29.2,32.3,27.4,13.8,35.3
Jurong Island,2013,8,25,0,—,—,—,29.2,32.5,27.3,15.3,39.6
Jurong Island,2013,8,26,0,—,—,—,28.6,30.6,27.5,14.5,44.6
Jurong Island,2013,8,27,0,—,—,—,28.9,31.5,27.4,12.9,35.3
Jurong Island,2013,8,28,0,—,—,—,28.8,31.8,27.5,10.5,36
Jurong Island,2013,8,29,4,—,—,—,28.3,30.8,26.1,8,43.6
Jurong Island,2013,8,30,0,—,—,—,28,30.1,25.7,8.3,30.6
Jurong Island,2013,8,31,3.8,—,—,—,28.8,32.4,26.4,14.4,41
