Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2019,5,1,0,0,0,0,30.1,32.4,27.6,5.8,25.2
Jurong Island,2019,5,2,0,0,0,0,30.6,34.1,28.6,6.5,25.6
Jurong Island,2019,5,3,5,3.8,5,5,30,32.9,26.8,7.9,25.6
Jurong Island,2019,5,4,0,0,0,0,29.4,31.7,28,6.8,22
Jurong Island,2019,5,5,0.2,0.2,0.2,0.2,29,31.7,26.4,7.2,37.1
Jurong Island,2019,5,6,0,0,0,0,30.4,32.9,28.8,9,33.5
Jurong Island,2019,5,7,0,0,0,0,30.9,34.1,28.4,6.8,28.4
Jurong Island,2019,5,8,55,25.6,35,36,27.1,29.9,23.3,6.8,55.8
Jurong Island,2019,5,9,1,1,1,1,30.2,33.3,27,5.4,29.9
Jurong Island,2019,5,10,13,7.8,8.2,10,29.5,33.4,23.8,7.9,79.2
Jurong Island,2019,5,11,17.4,16.6,17.4,17.4,29.4,31.6,24.5,4.7,39.6
Jurong Island,2019,5,12,0,0,0,0,29.9,32.8,28.2,6.1,22
Jurong Island,2019,5,13,0,0,0,0,29.3,31.5,26.6,7.9,31.7
Jurong Island,2019,5,14,1.8,1,1.8,1.8,29.5,32.8,27.3,9,53.6
Jurong Island,2019,5,15,0,0,0,0,29.6,32.2,27.3,6.5,26.3
Jurong Island,2019,5,16,5.8,4.2,5.2,5.6,28.7,31.4,24.5,5,37.1
Jurong Island,2019,5,17,2.8,1.6,1.8,2,27.9,30.8,24.5,6.8,45.4
Jurong Island,2019,5,18,0,0,0,0,29.1,31.4,27.7,9.4,29.5
Jurong Island,2019,5,19,28.6,16.4,25.4,28.4,27.8,29.1,23.7,6.8,42.1
Jurong Island,2019,5,20,1.2,1,1.2,1.2,28.6,30.9,26.6,6.8,33.5
Jurong Island,2019,5,21,0.6,0.6,0.6,0.6,28.4,30.8,25.8,7.9,41
Jurong Island,2019,5,22,3.4,2,2.4,3,28,31.2,25.1,5.8,37.1
Jurong Island,2019,5,23,2,1.8,2,2,29.1,31.4,25.9,9.7,43.2
Jurong Island,2019,5,24,0,0,0,0,29.9,32.5,28.2,9.4,25.9
Jurong Island,2019,5,25,0,0,0,0,29.1,31.4,28,10.4,45.4
Jurong Island,2019,5,26,0,0,0,0,29.6,32.4,28.1,10.1,29.2
Jurong Island,2019,5,27,0,0,0,0,29.6,32.1,28.5,13,38.2
Jurong Island,2019,5,28,14.4,12.4,12.6,14.4,29.5,31.8,24.4,13.7,64.4
Jurong Island,2019,5,29,0,0,0,0,29.5,32,28.1,9.4,36
Jurong Island,2019,5,30,43.6,26.4,41.8,42.6,27.9,30.1,23.4,7.2,30.6
Jurong Island,2019,5,31,0,0,0,0,28.8,31.5,27.1,9,34.9
