Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Semakau Island,2020,8,1,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,2,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,3,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,4,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,5,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,6,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,7,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,8,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,9,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,10,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,11,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,12,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,13,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,14,-,-,-,-,-,-,-,-,-
Semakau Island,2020,8,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,16,     3.5,     3.5,     3.5,     3.5,-,-,-,-,-
Semakau Island,2020,8,17,     8.0,     6.0,     7.5,     7.5,-,-,-,-,-
Semakau Island,2020,8,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,20,     4.0,     4.0,     4.0,     4.0,-,-,-,-,-
Semakau Island,2020,8,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,22,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Semakau Island,2020,8,23,    40.5,    22.0,    22.0,    22.5,-,-,-,-,-
Semakau Island,2020,8,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,25,     0.5,     0.5,     0.5,     0.5,-,-,-,-,-
Semakau Island,2020,8,26,     0.5,     0.5,     0.5,     0.5,-,-,-,-,-
Semakau Island,2020,8,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,8,29,     2.5,     1.0,     1.5,     2.0,-,-,-,-,-
Semakau Island,2020,8,30,     1.5,     1.5,     1.5,     1.5,-,-,-,-,-
Semakau Island,2020,8,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
