Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2019,1,1,35,30,33.6,33.8,28.1,32.9,23.2,7.6,36.7
Jurong Island,2019,1,2,0,0,0,0,29,32.3,26.2,7.9,34.9
Jurong Island,2019,1,3,0.6,0.6,0.6,0.6,29.3,32.2,27.2,9.7,39.2
Jurong Island,2019,1,4,0,0,0,0,—,32.1,27,7.2,29.9
Jurong Island,2019,1,5,0,0,0,0,29.2,32.2,27.7,7.2,31.7
Jurong Island,2019,1,6,0,0,0,0,29.1,33.1,27.2,6.5,34.9
Jurong Island,2019,1,7,0,0,0,0,29.5,33.3,27.1,7.6,42.5
Jurong Island,2019,1,8,0,0,0,0,28.6,32.4,26.5,6.1,38.2
Jurong Island,2019,1,9,0.8,0.8,0.8,0.8,28.3,31.7,26.7,6.1,36
Jurong Island,2019,1,10,0,0,0,0,29.4,33.7,26.7,7.6,39.2
Jurong Island,2019,1,11,0,0,0,0,29,33.2,26.7,6.1,35.6
Jurong Island,2019,1,12,0,0,0,0,28.8,33.6,26.1,7.2,33.1
Jurong Island,2019,1,13,0,0,0,0,28.5,32.9,26.1,6.5,37.1
Jurong Island,2019,1,14,0.6,0.6,0.6,0.6,28.4,32.7,26,6.1,27
Jurong Island,2019,1,15,0,0,0,0,28.7,33,26,7.6,26.6
Jurong Island,2019,1,16,0,0,0,0,28.6,32.1,26.1,7.2,26.3
Jurong Island,2019,1,17,5.2,2.8,2.8,2.8,26.9,30.8,25,7.2,28.8
Jurong Island,2019,1,18,15.8,2,3.8,7.2,26.4,29.3,24,6.8,30.6
Jurong Island,2019,1,19,0,0,0,0,28.1,32.3,25.6,6.8,31.7
Jurong Island,2019,1,20,0.2,0.2,0.2,0.2,28.4,32.9,25.6,7.2,26.3
Jurong Island,2019,1,21,0,0,0,0,28.6,32.5,26.2,7.9,29.5
Jurong Island,2019,1,22,0,0,0,0,28.3,31.7,25.9,7.6,33.8
Jurong Island,2019,1,23,0,0,0,0,28.6,32.5,26.1,7.9,45
Jurong Island,2019,1,24,0,0,0,0,28.2,31.3,26.4,7.6,34.2
Jurong Island,2019,1,25,0,0,0,0,27.9,31,25.9,6.5,36
Jurong Island,2019,1,26,0,0,0,0,27.9,32.1,25.9,7.2,38.2
Jurong Island,2019,1,27,0,0,0,0,28.4,32.1,26.2,6.5,32.8
Jurong Island,2019,1,28,0,0,0,0,27.6,29.9,26.4,6.5,36
Jurong Island,2019,1,29,0,0,0,0,28.6,33.7,26,7.6,41
Jurong Island,2019,1,30,0,0,0,0,28.9,33.2,26.3,6.5,37.8
Jurong Island,2019,1,31,0,0,0,0,28.4,32.5,26.2,5.8,27.7
