Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,5,1,0,0,0,0,29.3,31.9,27.5,7.6,28.8
Jurong Island,2017,5,2,3.6,1,2,3,28.2,30.3,25.4,6.1,37.4
Jurong Island,2017,5,3,0.2,0.2,0.2,0.2,29.2,33.1,27.3,6.5,20.5
Jurong Island,2017,5,4,1.8,1.4,1.6,1.8,29.1,31.9,26.9,7.9,29.9
Jurong Island,2017,5,5,0,0,0,0,29.2,31.9,27.4,6.1,30.2
Jurong Island,2017,5,6,29.4,17,20.6,25.4,28.2,30.8,24.3,6.1,35.3
Jurong Island,2017,5,7,37.2,31,35.6,36.8,28.4,30.7,23.7,5.8,28.1
Jurong Island,2017,5,8,2.6,2.4,2.4,2.6,28.7,32.4,25.7,7.2,26.6
Jurong Island,2017,5,9,2,1.6,1.6,1.6,29.2,31.6,24.9,10.8,36
Jurong Island,2017,5,10,12.2,7.8,8.6,8.8,27.5,29.4,25.2,5.8,34.9
Jurong Island,2017,5,11,2.6,1.8,2.4,2.4,28,30.7,24.8,10.4,30.6
Jurong Island,2017,5,12,9,6.2,7.6,8.6,28.5,30.2,25.6,7.9,26.3
Jurong Island,2017,5,13,0.2,0.2,0.2,0.2,29.2,31.6,27.5,9,38.5
Jurong Island,2017,5,14,13.6,12.8,13.6,13.6,29.4,32.5,24.6,11.5,43.6
Jurong Island,2017,5,15,0.8,0.4,0.4,0.6,28.7,30.4,27.7,9.7,36.4
Jurong Island,2017,5,16,0,0,0,0,28.7,31.2,27.7,11.5,38.5
Jurong Island,2017,5,17,4.2,4.2,4.2,4.2,30,32.7,27.9,11.9,34.6
Jurong Island,2017,5,18,3.4,3.4,3.4,3.4,29.4,32.1,26.8,13.7,46.8
Jurong Island,2017,5,19,0,0,0,0,29.1,31.5,27,10.4,37.8
Jurong Island,2017,5,20,0,0,0,0,29.9,32.2,28.5,8.6,28.4
Jurong Island,2017,5,21,6,1.8,2.6,2.8,28.4,31.9,25.9,11.5,37.8
Jurong Island,2017,5,22,66.8,33.8,37.4,62.4,28.4,31.4,23.3,11.5,41.4
Jurong Island,2017,5,23,0,0,0,0,29.5,32.1,27.1,11.2,40.7
Jurong Island,2017,5,24,33.6,13.8,17.8,20.4,26.7,29.2,24.1,8.3,39.6
Jurong Island,2017,5,25,0,0,0,0,28.8,31.8,26.9,11.5,32
Jurong Island,2017,5,26,13.8,5,6.6,7.6,27.8,31.4,25,10.4,42.1
Jurong Island,2017,5,27,0,0,0,0,29.2,32.1,26.9,7.9,27
Jurong Island,2017,5,28,1.2,1,1.2,1.2,29.1,30.6,27.7,11.5,36
Jurong Island,2017,5,29,0,0,0,0,29.3,31.8,28.1,11.5,31
Jurong Island,2017,5,30,7,4.8,5,5,27.2,29.6,24.5,7.9,43.6
Jurong Island,2017,5,31,10.2,6,7.4,9.4,29.2,32.9,25.2,8.6,42.8
