Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,1,1,12.6,—,—,—,27.2,31.8,24.3,5.1,34.9
Jurong Island,2013,1,2,0,—,—,—,26.8,30.9,24.1,6.4,36.7
Jurong Island,2013,1,3,2.8,—,—,—,27.5,32.2,25.3,6.3,28.4
Jurong Island,2013,1,4,17.4,—,—,—,27.7,31.9,24.6,7.9,28.4
Jurong Island,2013,1,5,0,—,—,—,28.1,31.8,25.7,7.8,30.2
Jurong Island,2013,1,6,0,—,—,—,29,32.6,25.9,5,23.8
Jurong Island,2013,1,7,0,—,—,—,29.6,33.7,26.3,6.1,29.5
Jurong Island,2013,1,8,0.2,—,—,—,28.1,32.5,26.4,8.3,37.8
Jurong Island,2013,1,9,1,—,—,—,27.2,31.5,25.8,7.8,40.7
Jurong Island,2013,1,10,0.6,—,—,—,27.4,30.3,25.6,7.7,31.7
Jurong Island,2013,1,11,22.8,—,—,—,27.6,32.1,24.1,7.4,36.4
Jurong Island,2013,1,12,0,—,—,—,27.9,31.2,25.8,5.7,23.8
Jurong Island,2013,1,13,0.4,—,—,—,27.6,31.1,25.1,5.3,25.6
Jurong Island,2013,1,14,9,—,—,—,27.6,32.5,24.2,6.5,34.2
Jurong Island,2013,1,15,8.4,—,—,—,27.6,31.8,25.7,6.1,28.4
Jurong Island,2013,1,16,0,—,—,—,27.9,31.5,26.2,6.5,31
Jurong Island,2013,1,17,0,—,—,—,28.1,31.8,25.4,8.1,32.4
Jurong Island,2013,1,18,54.2,—,—,—,27.2,32.7,24.4,8.3,31
Jurong Island,2013,1,19,13.8,—,—,—,24.1,25.3,22.6,6.4,29.5
Jurong Island,2013,1,20,1.2,—,—,—,25.2,27.2,24,6,21.2
Jurong Island,2013,1,21,7,—,—,—,27.4,31.3,24.4,6.2,28.1
Jurong Island,2013,1,22,0.4,—,—,—,26.6,29.2,24.7,5.7,29.5
Jurong Island,2013,1,23,0,—,—,—,28,32.6,25.1,6.1,29.9
Jurong Island,2013,1,24,12.6,—,—,—,27.5,31.5,25.1,5.5,29.2
Jurong Island,2013,1,25,0,—,—,—,27.8,32.2,25.1,5.4,27.7
Jurong Island,2013,1,26,0,—,—,—,28.4,32.8,25.6,6.6,27.4
Jurong Island,2013,1,27,15.4,—,—,—,27.5,33.1,24.3,6,34.2
Jurong Island,2013,1,28,0.2,—,—,—,27.8,31.9,25.5,5.4,24.5
Jurong Island,2013,1,29,0,—,—,—,28,32,25.5,6.7,34.6
Jurong Island,2013,1,30,0,—,—,—,28.4,32.9,25.5,6.4,32.8
Jurong Island,2013,1,31,0,—,—,—,28.2,32.1,25.7,6.3,31
