Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2018,2,1,3,3,3,3,29.3,32.9,26.8,7.6,35.3
Jurong Island,2018,2,2,8.8,8.4,8.6,8.8,26.7,29.4,24.6,6.1,34.2
Jurong Island,2018,2,3,0,0,0,0,28,32.1,25.4,7.2,41
Jurong Island,2018,2,4,1.4,1,1,1,27.4,31,26,7.2,41.4
Jurong Island,2018,2,5,0,0,0,0,27.7,31.4,25.6,7.6,38.5
Jurong Island,2018,2,6,0,0,0,0,27.4,31.8,25.3,7.2,36
Jurong Island,2018,2,7,0,0,0,0,26.7,29.1,25,6.5,37.1
Jurong Island,2018,2,8,0,0,0,0,27.3,32,24.6,7.9,33.5
Jurong Island,2018,2,9,0,0,0,0,27.7,32.7,24.5,9,42.8
Jurong Island,2018,2,10,0,0,0,0,27.7,32.6,24.5,7.2,35.6
Jurong Island,2018,2,11,0,0,0,0,28.1,32.4,25,7.6,34.9
Jurong Island,2018,2,12,0,0,0,0,28.2,33.1,25.2,7.9,37.8
Jurong Island,2018,2,13,0,0,0,0,27.9,32.8,25.4,7.2,32
Jurong Island,2018,2,14,16.6,14.2,16.2,16.6,27.3,32.1,25,6.5,33.5
Jurong Island,2018,2,15,0,0,0,0,27.9,32.1,25.2,7.6,27
Jurong Island,2018,2,16,0,0,0,0,28,31.6,25.6,7.6,27
Jurong Island,2018,2,17,0,0,0,0,27.9,32.2,25.6,8.6,32.8
Jurong Island,2018,2,18,0,0,0,0,28.3,32.7,26.1,8.3,33.8
Jurong Island,2018,2,19,0,0,0,0,28,32.5,25.5,9.7,41.4
Jurong Island,2018,2,20,0,0,0,0,28,31.8,25.6,10.4,44.3
Jurong Island,2018,2,21,10,9.6,9.8,10,28.1,31.7,25.9,7.9,35.3
Jurong Island,2018,2,22,0,0,0,0,28.3,31.2,25.8,7.9,36.7
Jurong Island,2018,2,23,48.2,21.4,28.2,35.2,26.7,32.1,24.1,5.8,32.8
Jurong Island,2018,2,24,0,0,0,0,26.6,29.8,25.2,5.8,31
Jurong Island,2018,2,25,0,0,0,0,27.9,31.1,25.9,6.1,32.4
Jurong Island,2018,2,26,0,0,0,0,28.2,32.3,26.1,6.5,32.8
Jurong Island,2018,2,27,40.2,23.2,30,40,27.4,31.9,25.1,6.8,33.8
Jurong Island,2018,2,28,0.4,0.4,0.4,0.4,28,32.1,25.9,7.2,29.9
