Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Semakau Island,2020,6,1,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,2,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,3,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,4,-,-,-,-,-,-,-,-,-
Semakau Island,,,,-,-,-,-,-,-,-,-,-
Semakau Island,,,,-,-,-,-,-,-,-,-,-
Semakau Island,,,,-,-,-,-,-,-,-,-,-
Semakau Island,,,,-,-,-,-,-,-,-,-,-
Semakau Island,,,,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,10,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,11,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,12,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,13,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,14,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,15,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,16,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,17,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,18,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,19,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,20,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,21,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,22,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,23,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,24,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,25,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,26,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,27,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,28,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,29,-,-,-,-,-,-,-,-,-
Semakau Island,2020,6,30,-,-,-,-,-,-,-,-,-
