Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,4,1,0,—,—,—,29,33,27,5.5,38.5
Jurong Island,2013,4,2,22.4,—,—,—,28.6,31.8,24.4,4.6,28.4
Jurong Island,2013,4,3,0.2,—,—,—,28.8,32.1,26.3,4.3,24.1
Jurong Island,2013,4,4,32,—,—,—,28.9,32.1,26.1,4.6,28.8
Jurong Island,2013,4,5,52.4,—,—,—,29.3,32.2,24.3,6,27.4
Jurong Island,2013,4,6,54.8,—,—,—,27.6,29.9,23.7,7.1,63
Jurong Island,2013,4,7,0,—,—,—,28.1,29.7,24.1,6.9,41.8
Jurong Island,2013,4,8,15.2,—,—,—,28.4,32,22.9,5,49.7
Jurong Island,2013,4,9,13.2,—,—,—,28,31.8,24.5,4.1,43.2
Jurong Island,2013,4,10,0,—,—,—,28.8,32.8,26.7,4.9,27
Jurong Island,2013,4,11,0,—,—,—,28.1,30.9,26,5.8,21.2
Jurong Island,2013,4,12,0,—,—,—,29.5,32.8,26.1,6.4,25.2
Jurong Island,2013,4,13,24,—,—,—,29.9,34.1,26.2,8.6,54
Jurong Island,2013,4,14,0,—,—,—,27.5,29.4,22.1,6,34.2
Jurong Island,2013,4,15,0,—,—,—,29.9,34,26.4,5.1,27.7
Jurong Island,2013,4,16,72.2,—,—,—,30.4,34.2,27.7,6.3,24.8
Jurong Island,2013,4,17,1.2,—,—,—,28.5,31.2,23,7.9,49
Jurong Island,2013,4,18,0.8,—,—,—,30.2,32.8,28.4,5.4,29.2
Jurong Island,2013,4,19,33,—,—,—,27.5,29.4,22.7,4.1,45
Jurong Island,2013,4,20,0,—,—,—,29.8,33.4,27.4,8.1,25.2
Jurong Island,2013,4,21,7,—,—,—,27.4,32.2,24.2,9.9,43.9
Jurong Island,2013,4,22,20,—,—,—,28.4,32.9,24.8,6.1,31.7
Jurong Island,2013,4,23,43.8,—,—,—,27.9,29.7,24.7,6,27.7
Jurong Island,2013,4,24,0,—,—,—,28.7,31.9,26.2,8.4,45.4
Jurong Island,2013,4,25,5.8,—,—,—,29.1,32.1,27.3,6.8,25.9
Jurong Island,2013,4,26,0.2,—,—,—,27.7,30.6,24.5,4.9,38.5
Jurong Island,2013,4,27,9,—,—,—,29,32.7,27.1,5.2,23
Jurong Island,2013,4,28,1,—,—,—,26.8,27.9,24.8,6.2,50.8
Jurong Island,2013,4,29,0,—,—,—,28.7,31.5,26.3,10.9,37.1
Jurong Island,2013,4,30,0,—,—,—,29.4,32.4,27.7,10,31
