Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,3,1,10,2.4,3.8,6.4,25.5,28.8,23.1,5.4,35.6
Jurong Island,2017,3,2,0,0,0,0,—,30.9,24.9,6.1,37.8
Jurong Island,2017,3,3,10.2,4.6,8.6,9.8,26.4,29.2,23.6,5.8,48.6
Jurong Island,2017,3,4,14.2,13,13.4,13.4,—,28.1,24.7,4,22.3
Jurong Island,2017,3,5,9,7.4,8.8,9,27.1,32.1,25.2,5.8,27.7
Jurong Island,2017,3,6,4.8,4.2,4.8,4.8,—,31.5,25.2,5.8,29.2
Jurong Island,2017,3,7,0,0,0,0,27.8,31.2,25.8,5.8,25.2
Jurong Island,2017,3,8,0,0,0,0,27.8,31.2,25.8,10.1,36.4
Jurong Island,2017,3,9,5,3.2,4.4,5,27.7,32.4,25.5,8.3,36.4
Jurong Island,2017,3,10,0,0,0,0,—,32.8,25.7,6.5,33.8
Jurong Island,2017,3,11,0,0,0,0,27.9,32.1,26,6.1,35.3
Jurong Island,2017,3,12,14,9.4,11.2,12.4,27.3,31.1,23.9,5,25.9
Jurong Island,2017,3,13,0,0,0,0,28.7,32.2,26.1,7.6,28.8
Jurong Island,2017,3,14,0,0,0,0,27.3,29.5,24.8,8.6,45.4
Jurong Island,2017,3,15,0,0,0,0,29,33.1,26.4,8.3,28.8
Jurong Island,2017,3,16,1,1,1,1,28.5,30.5,27,13.7,37.4
Jurong Island,2017,3,17,0,0,0,0,—,32,25.9,5,25.6
Jurong Island,2017,3,18,14.4,7.8,8.6,8.6,—,30.5,26,7.9,38.5
Jurong Island,2017,3,19,0,0,0,0,—,31.7,26.3,5.8,24.1
Jurong Island,2017,3,20,4,1.4,2.6,3.8,—,30.1,25.3,6.1,36.4
Jurong Island,2017,3,21,0,0,0,0,29.2,32.3,26.2,6.8,32
Jurong Island,2017,3,22,3.2,3.2,3.2,3.2,—,33.3,25.6,6.5,30.2
Jurong Island,2017,3,23,0,0,0,0,29.1,32.4,27,8.3,34.9
Jurong Island,2017,3,24,0,0,0,0,28.8,31.3,26.1,7.2,34.2
Jurong Island,2017,3,25,0.4,0.4,0.4,0.4,28.5,31.6,26.4,5.4,29.5
Jurong Island,2017,3,26,12,9.4,11.8,11.8,28.7,31.3,26.1,6.8,36
Jurong Island,2017,3,27,0.4,0.4,0.4,0.4,28.9,33.1,27.1,6.8,31.7
Jurong Island,2017,3,28,16.8,15.8,16.6,16.8,27.8,29.5,25.6,5,29.5
Jurong Island,2017,3,29,0,0,0,0,27.8,31.8,25.9,4,24.5
Jurong Island,2017,3,30,1.8,0.4,0.6,1,26.5,29.4,25.4,5.4,37.8
Jurong Island,2017,3,31,0,0,0,0,28.2,31.5,25.7,4.3,25.2
