Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,8,1,0,0,0,0,29.5,31.7,28.1,14.4,43.6
Jurong Island,2017,8,2,2,2,2,2,29.5,31.9,27.9,16.9,40
Jurong Island,2017,8,3,0,0,0,0,29.5,32,27.7,13.3,38.2
Jurong Island,2017,8,4,0,0,0,0,29.5,32.3,27.7,15.1,36.7
Jurong Island,2017,8,5,0,0,0,0,29.7,32.7,27.9,15.1,36.7
Jurong Island,2017,8,6,0,0,0,0,29.2,32.4,26.2,14,43.6
Jurong Island,2017,8,7,1.4,1.2,1.4,1.4,28.8,30.3,27.4,14.4,33.1
Jurong Island,2017,8,8,3,2.6,2.6,2.6,27.7,29.8,25.7,9.7,31.7
Jurong Island,2017,8,9,0,0,0,0,27.7,30.9,25.2,13.3,39.6
Jurong Island,2017,8,10,0,0,0,0,28.8,31.6,27.1,7.9,27.7
Jurong Island,2017,8,11,28.8,12.2,16.8,27.4,27.1,30.6,23.6,8.3,59.8
Jurong Island,2017,8,12,49.8,28.4,43.2,46.6,26.7,28.8,22.8,6.8,38.2
Jurong Island,2017,8,13,0,0,0,0,27.5,29.6,26.4,7.9,27.7
Jurong Island,2017,8,14,0,0,0,0,28.5,31,26.9,10.4,38.2
Jurong Island,2017,8,15,41.4,13.8,18.2,27.4,26.7,28.8,22.1,6.8,55.4
Jurong Island,2017,8,16,0,0,0,0,28.3,30.9,26.5,7.9,33.5
Jurong Island,2017,8,17,17.2,9.4,11.4,14.6,27.5,31.7,24.6,13,35.3
Jurong Island,2017,8,18,0,0,0,0,28.2,31.2,25.9,11.5,38.9
Jurong Island,2017,8,19,0,0,0,0,28.8,31.7,26.8,14.4,38.5
Jurong Island,2017,8,20,4.4,4.4,4.4,4.4,29.1,31.9,27.4,14,36.4
Jurong Island,2017,8,21,0,0,0,0,29.1,32.4,27.5,11.9,35.6
Jurong Island,2017,8,22,0,0,0,0,27.7,29.1,25.7,12.2,33.8
Jurong Island,2017,8,23,0,0,0,0,29.1,31.6,27.7,13.3,33.5
Jurong Island,2017,8,24,0,0,0,0,28.9,31.5,27.7,14,41.4
Jurong Island,2017,8,25,0,0,0,0,28.5,30.3,27.1,11.5,37.4
Jurong Island,2017,8,26,0,0,0,0,29,31.6,27.6,13.3,34.9
Jurong Island,2017,8,27,0.2,0.2,0.2,0.2,28,30.5,25.1,12.2,45.7
Jurong Island,2017,8,28,1,1,1,1,28.5,30.2,27,10.8,32
Jurong Island,2017,8,29,3.8,3.2,3.6,3.6,27,28.6,24,7.9,31.7
Jurong Island,2017,8,30,0,0,0,0,28.4,30.8,26.4,8.3,27.7
Jurong Island,2017,8,31,0,0,0,0,29.1,32.4,27.4,12.6,33.8
