Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,12,1,16,—,—,—,26.9,30,24.8,7.5,28.4
Jurong Island,2013,12,2,5.8,—,—,—,25,26,24.4,9.1,33.8
Jurong Island,2013,12,3,55.6,—,—,—,25.8,29.4,24.3,7.9,37.8
Jurong Island,2013,12,4,0.2,—,—,—,26.1,28.9,23.9,8.3,35.3
Jurong Island,2013,12,5,0,—,—,—,27.7,31.1,25,7.1,27.7
Jurong Island,2013,12,6,32.6,—,—,—,25.7,29,24,8.1,53.3
Jurong Island,2013,12,7,0,—,—,—,27.2,31,24.1,5.8,22.3
Jurong Island,2013,12,8,15.4,—,—,—,25.8,29.4,24.4,9.6,35.3
Jurong Island,2013,12,9,0,—,—,—,27.5,31,24.6,6.8,25.2
Jurong Island,2013,12,10,3,—,—,—,27.8,31.5,25.9,6.6,19.4
Jurong Island,2013,12,11,2.2,—,—,—,27.8,32,25.6,6.4,41.8
Jurong Island,2013,12,12,30.6,—,—,—,27.2,31.5,24.6,7,38.2
Jurong Island,2013,12,13,15,—,—,—,27.5,32.8,24,6.7,29.9
Jurong Island,2013,12,14,0.6,—,—,—,28.1,32.2,25.9,7.3,33.5
Jurong Island,2013,12,15,0,—,—,—,28,31.5,26.2,6.7,27.4
Jurong Island,2013,12,16,0,—,—,—,29,32.9,25.9,5.6,22.3
Jurong Island,2013,12,17,0,—,—,—,28.8,32.7,26.9,5.2,23.8
Jurong Island,2013,12,18,14,—,—,—,27.6,32.8,22.8,8.5,46.1
Jurong Island,2013,12,19,7,—,—,—,26.7,30.7,24,8,33.8
Jurong Island,2013,12,20,6.4,—,—,—,26,28.2,24.8,8.5,34.2
Jurong Island,2013,12,21,0,—,—,—,27,31.5,24.2,8.5,30.6
Jurong Island,2013,12,22,0.4,—,—,—,27.2,31.6,25,9.7,37.4
Jurong Island,2013,12,23,0.4,—,—,—,26.5,28.5,25.1,9,41.8
Jurong Island,2013,12,24,0,—,—,—,27.7,30.9,25.8,10.5,34.6
Jurong Island,2013,12,25,1,—,—,—,27.8,31.3,25.9,8.5,29.5
Jurong Island,2013,12,26,8.2,—,—,—,27.1,32.5,24.7,8.3,37.8
Jurong Island,2013,12,27,29.2,—,—,—,27.3,30.9,23.8,7.2,38.9
Jurong Island,2013,12,28,0.4,—,—,—,27,31.7,25.5,7.7,36.7
Jurong Island,2013,12,29,0,—,—,—,26.8,29.4,25,7.7,32
Jurong Island,2013,12,30,6.8,—,—,—,26.8,30.7,24.9,6.8,30.2
Jurong Island,2013,12,31,0,—,—,—,26.7,29.4,25.1,8.1,35.3
