Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,6,1,1.2,0.4,0.8,1.2,28.3,31.5,25.3,8.6,28.1
Jurong Island,2017,6,2,0,0,0,0,29.2,31.6,27.9,9.7,25.9
Jurong Island,2017,6,3,0,0,0,0,29.8,32.5,28.2,10.1,26.6
Jurong Island,2017,6,4,0,0,0,0,30.1,32.7,28.4,11.9,34.9
Jurong Island,2017,6,5,0,0,0,0,30,32.5,28.5,10.4,25.2
Jurong Island,2017,6,6,0,0,0,0,29.7,32.4,28.6,11.2,27
Jurong Island,2017,6,7,0,0,0,0,29.9,32.7,28.2,12.6,28.1
Jurong Island,2017,6,8,0,0,0,0,29.8,32.5,28.4,15.1,31
Jurong Island,2017,6,9,0,0,0,0,30.1,32.9,28.4,13.3,30.2
Jurong Island,2017,6,10,43.4,25.6,26.8,43.4,29.1,32.6,23.7,11.2,39.2
Jurong Island,2017,6,11,0,0,0,0,28.3,30.8,25.8,9.7,29.9
Jurong Island,2017,6,12,0,0,0,0,29.4,31.6,28,10.8,27
Jurong Island,2017,6,13,3.4,3.4,3.4,3.4,29.6,32.5,25.9,10.8,30.6
Jurong Island,2017,6,14,44,21.8,37.6,43,28.2,31.1,24,7.9,38.9
Jurong Island,2017,6,15,0,0,0,0,29.5,32.4,27,8.6,28.8
Jurong Island,2017,6,16,0,0,0,0,28.7,30.4,26.8,6.8,28.8
Jurong Island,2017,6,17,0,0,0,0,29.3,32.2,27.7,10.4,29.5
Jurong Island,2017,6,18,32.8,25.4,27.6,28.4,27.5,30.9,23.8,8.3,46.1
Jurong Island,2017,6,19,0.8,0.8,0.8,0.8,28.1,30.1,26.4,12.2,36.4
Jurong Island,2017,6,20,0,0,0,0,29.4,32.2,27,8.3,24.5
Jurong Island,2017,6,21,0,0,0,0,29,30.8,27.8,9.4,28.8
Jurong Island,2017,6,22,0,0,0,0,29.2,30.7,28,8.6,24.1
Jurong Island,2017,6,23,0.4,0.2,0.4,0.4,27.5,30.5,24.3,10.1,44.6
Jurong Island,2017,6,24,0,0,0,0,28.8,31.3,27.1,8.3,25.9
Jurong Island,2017,6,25,0,0,0,0,27.8,29.6,25.3,6.8,42.1
Jurong Island,2017,6,26,12.8,12,12.6,12.8,28.6,31.8,24.8,8.6,26.3
Jurong Island,2017,6,27,1.6,0.8,1.4,1.6,27.1,28.6,25.4,6.5,26.3
Jurong Island,2017,6,28,0.2,0.2,0.2,0.2,28.4,31.7,25.9,8.3,31.3
Jurong Island,2017,6,29,0.2,0.2,0.2,0.2,27.9,30,26.1,7.2,41.8
Jurong Island,2017,6,30,0,0,0,0,28.6,31.5,26.8,10.4,25.2
