Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,12,1,0,0,0,0,29.6,33.4,26.4,6.5,26.6
Jurong Island,2017,12,2,0,0,0,0,29.6,33.5,26.2,5.8,27
Jurong Island,2017,12,3,0.2,0.2,0.2,0.2,29.1,31.8,26.7,5,22.3
Jurong Island,2017,12,4,0,0,0,0,28.8,31.8,27.3,5,23.8
Jurong Island,2017,12,5,0,0,0,0,29.4,33.6,27.2,6.8,24.8
Jurong Island,2017,12,6,0,0,0,0,28.9,32.9,25.7,7.6,30.2
Jurong Island,2017,12,7,0.4,0.4,0.4,0.4,28.3,31.1,26.6,5.8,27
Jurong Island,2017,12,8,0,0,0,0,28.1,31.8,25.5,8.6,29.9
Jurong Island,2017,12,9,0,0,0,0,27.1,28.9,25.7,5.8,29.2
Jurong Island,2017,12,10,4.2,3.4,3.8,4.2,28.4,32.4,24.8,6.5,31.3
Jurong Island,2017,12,11,57.2,50.8,56.2,57,27.6,32,24.1,6.1,40.3
Jurong Island,2017,12,12,17.8,15,15.6,15.6,26.7,30.2,24.1,4.3,23.4
Jurong Island,2017,12,13,0,0,0,0,27.8,32.1,25.8,6.8,27.7
Jurong Island,2017,12,14,0,0,0,0,28.8,32.6,26.1,5.8,28.8
Jurong Island,2017,12,15,7.2,4.6,7,7,27.9,31.6,23.7,6.5,36.7
Jurong Island,2017,12,16,0.6,0.6,0.6,0.6,28,32.1,26.1,5.8,29.2
Jurong Island,2017,12,17,0,0,0,0,28.4,32.9,26,7.9,33.5
Jurong Island,2017,12,18,0,0,0,0,28.4,32.1,26,7.6,41.4
Jurong Island,2017,12,19,0,0,0,0,27.4,31.5,25.6,6.8,36.7
Jurong Island,2017,12,20,0.4,0.4,0.4,0.4,27.6,31.3,25.4,7.2,32.8
Jurong Island,2017,12,21,0,0,0,0,28.4,32.1,25.6,9.4,37.8
Jurong Island,2017,12,22,21.2,20.8,20.8,20.8,28.5,32.1,24.2,9.4,39.6
Jurong Island,2017,12,23,10.2,4.8,5,5,27.8,31.1,24.2,7.6,35.3
Jurong Island,2017,12,24,0,0,0,0,27.1,28.3,25.9,8.3,30.6
Jurong Island,2017,12,25,3,2.2,2.8,3,28.1,32.1,25,6.8,29.9
Jurong Island,2017,12,26,2.2,0.4,0.6,0.6,27.9,31.4,25.1,6.5,34.2
Jurong Island,2017,12,27,0.2,0.2,0.2,0.2,28.3,32.8,25.4,6.1,29.2
Jurong Island,2017,12,28,0,0,0,0,28.4,32.2,26.3,5.4,28.1
Jurong Island,2017,12,29,16.8,11.2,11.2,16.4,27.9,32.2,25,5.8,38.9
Jurong Island,2017,12,30,8.6,3.2,3.2,3.2,27,30,25,5.8,36.7
Jurong Island,2017,12,31,66.6,17,21.2,21.6,25.3,26.2,24.3,5,29.2
