Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Semakau Island,2020,9,1,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Semakau Island,2020,9,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,3,     9.5,     5.0,     6.5,     9.0,-,-,-,-,-
Semakau Island,2020,9,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,5,    53.5,    22.5,    25.0,    29.5,-,-,-,-,-
Semakau Island,2020,9,6,     2.5,     1.0,     2.0,     2.0,-,-,-,-,-
Semakau Island,2020,9,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,8,     6.0,     4.0,     5.0,     6.0,-,-,-,-,-
Semakau Island,2020,9,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,10,    53.5,    41.0,    51.0,    52.5,-,-,-,-,-
Semakau Island,2020,9,11,     9.5,     8.0,     9.5,    10.0,-,-,-,-,-
Semakau Island,2020,9,12,    10.5,     3.5,     4.0,     5.5,-,-,-,-,-
Semakau Island,2020,9,13,    33.0,    12.5,    17.5,    20.5,-,-,-,-,-
Semakau Island,2020,9,14,    21.0,    14.5,    19.5,    20.5,-,-,-,-,-
Semakau Island,2020,9,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,16,     8.5,     2.0,     3.5,     5.0,-,-,-,-,-
Semakau Island,2020,9,17,     1.5,     1.5,     1.5,     1.5,-,-,-,-,-
Semakau Island,2020,9,18,     0.0,     0.5,     1.5,     1.5,-,-,-,-,-
Semakau Island,2020,9,19,     0.5,     0.5,     0.5,     0.5,-,-,-,-,-
Semakau Island,2020,9,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,21,    24.5,    12.0,    19.5,    23.0,-,-,-,-,-
Semakau Island,2020,9,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,24,     4.5,     4.5,     4.5,     4.5,-,-,-,-,-
Semakau Island,2020,9,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,26,    56.5,    29.5,    35.5,    39.5,-,-,-,-,-
Semakau Island,2020,9,27,     2.0,     1.0,     1.0,     2.5,-,-,-,-,-
Semakau Island,2020,9,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Semakau Island,2020,9,29,     1.5,     1.5,     1.5,     1.5,-,-,-,-,-
Semakau Island,2020,9,30,     2.5,     2.5,     2.5,     2.5,-,-,-,-,-
