Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,9,1,1.6,—,—,—,27.9,30.6,26.2,10.2,45
Jurong Island,2013,9,2,0,—,—,—,27.8,31.4,25.4,6.9,31.7
Jurong Island,2013,9,3,0.8,—,—,—,28,31.2,25.1,5.6,29.2
Jurong Island,2013,9,4,8.4,—,—,—,26.9,29.8,23.5,8,29.2
Jurong Island,2013,9,5,11.2,—,—,—,27.1,28.6,26.2,8.7,30.6
Jurong Island,2013,9,6,11.8,—,—,—,26.7,29.3,23.2,9,51.1
Jurong Island,2013,9,7,11.2,—,—,—,26.4,28.6,22.6,8.1,40
Jurong Island,2013,9,8,0.8,—,—,—,27.2,31.3,22.9,7,40
Jurong Island,2013,9,9,7.2,—,—,—,27.2,29.8,26.1,6.8,33.5
Jurong Island,2013,9,10,27,—,—,—,26.6,28,22.7,9.2,33.8
Jurong Island,2013,9,11,0.2,—,—,—,27.9,30.8,23.5,8,27.4
Jurong Island,2013,9,12,0,—,—,—,29,32.6,25.1,11.2,35.6
Jurong Island,2013,9,13,0,—,—,—,28.1,30.2,27.1,11.1,37.8
Jurong Island,2013,9,14,0,—,—,—,28.5,30.8,26.9,9.2,40.7
Jurong Island,2013,9,15,19.2,—,—,—,26.3,28.5,23.5,7.9,43.9
Jurong Island,2013,9,16,0,—,—,—,28.2,32,25.7,8.3,25.6
Jurong Island,2013,9,17,8.2,—,—,—,27.9,31,24.9,11.5,34.9
Jurong Island,2013,9,18,0,—,—,—,28.5,31.1,27,9.9,27.4
Jurong Island,2013,9,19,0,—,—,—,28.7,31.9,27.2,10.6,40
Jurong Island,2013,9,20,0,—,—,—,29,32.3,27.1,11.3,29.9
Jurong Island,2013,9,21,0,—,—,—,29.1,31.8,27.9,12.7,45
Jurong Island,2013,9,22,0,—,—,—,29.3,32.4,27.7,12.8,39.6
Jurong Island,2013,9,23,0,—,—,—,29.2,32.3,27.2,12.2,29.9
Jurong Island,2013,9,24,0,—,—,—,29.5,32.5,27.6,14.2,35.6
Jurong Island,2013,9,25,20.4,—,—,—,28.5,30.7,23.5,10.5,45.7
Jurong Island,2013,9,26,28.2,—,—,—,26.7,30.1,22.3,7.1,40.3
Jurong Island,2013,9,27,0,—,—,—,28.5,31.7,26.9,10,31
Jurong Island,2013,9,28,1.6,—,—,—,29,32.3,27.4,5.6,27.4
Jurong Island,2013,9,29,4.4,—,—,—,28.1,31.5,24.6,6.8,30.2
Jurong Island,2013,9,30,0,—,—,—,27.9,29.2,24.4,10.6,45
