Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,7,1,0,0,0,0,29.5,32.4,27.8,12.2,34.6
Jurong Island,2017,7,2,0,0,0,0,29.3,32.1,27.3,10.4,30.6
Jurong Island,2017,7,3,57.4,32,50.2,56.6,26.8,28.7,23.7,10.8,42.5
Jurong Island,2017,7,4,0,0,0,0,28.6,31.4,26.4,8.6,26.6
Jurong Island,2017,7,5,0.4,0.2,0.2,0.2,27.8,31.3,25.9,8.6,37.8
Jurong Island,2017,7,6,0,0,0,0,28.3,30.6,26.6,11.9,38.2
Jurong Island,2017,7,7,7.8,7.8,7.8,7.8,28.6,31,24.2,10.8,46.4
Jurong Island,2017,7,8,0.6,0.6,0.6,0.6,28.5,30.6,25.6,9.7,34.9
Jurong Island,2017,7,9,0,0,0,0,27.8,29.3,25.8,11.2,36
Jurong Island,2017,7,10,0,0,0,0,28.9,31.7,26.7,7.9,37.1
Jurong Island,2017,7,11,0,0,0,0,28.3,30.4,25.5,9.4,40.7
Jurong Island,2017,7,12,11.2,4.6,6.2,7.8,26.4,28.3,23.7,9.7,38.9
Jurong Island,2017,7,13,0,0,0,0,27.9,30,25.8,9.7,37.1
Jurong Island,2017,7,14,10.2,4,4,5,27,29.4,24.4,6.1,38.5
Jurong Island,2017,7,15,3.6,2.8,3,3.2,27.9,30.3,25.4,10.1,32
Jurong Island,2017,7,16,0,0,0,0,28.3,31,26.5,17.3,41
Jurong Island,2017,7,17,0,0,0,0,28.9,31.3,27.2,13,34.9
Jurong Island,2017,7,18,0,0,0,0,28.8,31.1,27.6,11.5,36
Jurong Island,2017,7,19,0,0,0,0,28.5,30.8,27,11.5,28.4
Jurong Island,2017,7,20,0.4,0.4,0.4,0.4,28.6,31.1,27.2,11.5,29.2
Jurong Island,2017,7,21,0,0,0,0,29.2,32.3,27.5,13,34.6
Jurong Island,2017,7,22,0,0,0,0,29.5,32.3,27.8,13.7,41.8
Jurong Island,2017,7,23,0,0,0,0,29.3,32.2,27.4,13.3,33.1
Jurong Island,2017,7,24,0,0,0,0,29.4,31.9,27.7,13.3,33.5
Jurong Island,2017,7,25,0,0,0,0,29.5,32.7,27.7,14.8,37.1
Jurong Island,2017,7,26,0.6,0.4,0.6,0.6,28.8,30.6,27,13.7,37.8
Jurong Island,2017,7,27,0,0,0,0,29.5,31.9,27.8,13.3,37.4
Jurong Island,2017,7,28,0,0,0,0,29.5,32.2,27.9,13,33.8
Jurong Island,2017,7,29,0,0,0,0,29.4,31.5,27.8,12.2,37.1
Jurong Island,2017,7,30,0,0,0,0,29.6,32.6,28.1,13,37.1
Jurong Island,2017,7,31,0,0,0,0,29.5,32.3,28,12.6,34.6
