Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,5,1,0.4,—,—,—,28.9,31.1,27.4,6.8,29.2
Jurong Island,2013,5,2,0,—,—,—,29.1,31.5,27,8.9,34.2
Jurong Island,2013,5,3,51.6,—,—,—,28.6,31.2,24.7,7.4,40.7
Jurong Island,2013,5,4,2.8,—,—,—,28.9,32.4,25.6,10.1,55.8
Jurong Island,2013,5,5,1,—,—,—,28.5,31,26.9,7.3,33.5
Jurong Island,2013,5,6,0,—,—,—,29,32.6,26.2,4.9,28.1
Jurong Island,2013,5,7,0.8,—,—,—,28,32,25.8,4.6,27.7
Jurong Island,2013,5,8,0.2,—,—,—,28.9,32.2,26.8,4.9,22
Jurong Island,2013,5,9,0.6,—,—,—,28.6,32.3,25.9,6.3,38.2
Jurong Island,2013,5,10,0.4,—,—,—,29.1,32.5,26.8,9.4,30.6
Jurong Island,2013,5,11,0,—,—,—,28.7,30.5,27.4,9.7,33.8
Jurong Island,2013,5,12,0,—,—,—,30.1,33.8,28,9.9,31
Jurong Island,2013,5,13,0,—,—,—,30.3,33.6,28.7,14.1,31.3
Jurong Island,2013,5,14,0,—,—,—,30,32.6,28.6,7.7,28.4
Jurong Island,2013,5,15,60.6,—,—,—,30,32.8,27.7,8.8,33.1
Jurong Island,2013,5,16,3.4,—,—,—,28,33.4,23.1,11.8,46.1
Jurong Island,2013,5,17,0,—,—,—,30.5,34.2,27.6,4.7,22
Jurong Island,2013,5,18,0,—,—,—,28.3,30.6,26.8,7.9,42.1
Jurong Island,2013,5,19,0,—,—,—,29.9,33.3,27.4,6.4,21.6
Jurong Island,2013,5,20,39.2,—,—,—,29.3,32.3,25,7.1,21.6
Jurong Island,2013,5,21,0.2,—,—,—,29.1,32.7,27.5,6.2,23
Jurong Island,2013,5,22,0.4,—,—,—,29.2,32.2,26.9,5.2,24.1
Jurong Island,2013,5,23,5,—,—,—,29.5,32.2,27.1,9.9,26.6
Jurong Island,2013,5,24,8,—,—,—,27.7,30,23.9,5.1,35.6
Jurong Island,2013,5,25,0,—,—,—,29.4,32.6,27.1,7.3,38.2
Jurong Island,2013,5,26,0,—,—,—,28.6,31.7,26.7,3.5,16.9
Jurong Island,2013,5,27,0,—,—,—,29.5,32.6,26.5,5.4,25.9
Jurong Island,2013,5,28,0,—,—,—,29.2,33,25.6,5.1,40.7
Jurong Island,2013,5,29,0.2,—,—,—,27.8,29.3,26.2,6.3,34.9
Jurong Island,2013,5,30,14.8,—,—,—,27.5,30.8,23.7,6.1,39.6
Jurong Island,2013,5,31,0,—,—,—,28.8,32.4,25.3,5.8,30.6
