Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2018,1,1,47.6,19.6,25.8,30,25.4,27.2,23.5,5.8,31
Jurong Island,2018,1,2,3.2,2.6,3.2,3.2,26,28,25,4.7,25.6
Jurong Island,2018,1,3,0,0,0,0,27.3,30.4,24.9,5,23.4
Jurong Island,2018,1,4,21.2,7.2,12.8,20.6,26.8,29.6,24.7,5.4,29.2
Jurong Island,2018,1,5,12.4,10,11.4,12,26.5,27.9,24.9,4,22
Jurong Island,2018,1,6,0,0,0,0,27.5,30.2,25.1,6.5,27.4
Jurong Island,2018,1,7,0,0,0,0,27.6,31.5,26.3,12.6,35.6
Jurong Island,2018,1,8,25,13.4,20.6,23,27,30.7,24.7,6.8,34.6
Jurong Island,2018,1,9,26.6,15.8,17.6,26.6,27.2,31.6,23.7,5.4,31.3
Jurong Island,2018,1,10,7.8,1,1.6,2.8,25.3,27.3,23.4,6.5,27.7
Jurong Island,2018,1,11,10.8,2.4,2.4,2.6,24.3,26.4,23,9,32.8
Jurong Island,2018,1,12,6.2,0.8,1.6,2.2,23.4,24.4,22.4,10.4,33.8
Jurong Island,2018,1,13,8.2,1,1.6,2.4,23.4,24,22.8,9.4,28.1
Jurong Island,2018,1,14,4.2,0.8,1.2,2.2,24.1,25.9,22.1,9.7,33.5
Jurong Island,2018,1,15,0.4,0.2,0.2,0.2,25.1,27.1,23.3,7.9,31
Jurong Island,2018,1,16,3.8,3.6,3.6,3.6,26.5,30.2,23.8,7.2,29.5
Jurong Island,2018,1,17,4.8,2.6,4.6,4.8,27.3,32.5,25,6.1,28.1
Jurong Island,2018,1,18,0.4,0.2,0.2,0.2,27.6,32.8,25.3,6.5,29.2
Jurong Island,2018,1,19,0.4,0.4,0.4,0.4,27.4,32.5,25.2,6.5,28.8
Jurong Island,2018,1,20,0,0,0,0,27.5,31.1,25.7,7.6,29.5
Jurong Island,2018,1,21,0,0,0,0,28.2,32.2,25.4,6.1,28.8
Jurong Island,2018,1,22,0,0,0,0,28.8,32.9,26.2,6.1,30.2
Jurong Island,2018,1,23,2.2,1.8,2,2,27.5,30.6,25.4,7.2,24.5
Jurong Island,2018,1,24,101.4,30.4,31.2,46,26.8,30.9,23.3,6.5,29.2
Jurong Island,2018,1,25,0.6,0.2,0.2,0.4,27.2,30.2,24.4,6.5,23
Jurong Island,2018,1,26,0.4,0.2,0.4,0.4,27,30.2,25.5,6.5,25.6
Jurong Island,2018,1,27,0,0,0,0,28.2,32.8,25.5,7.2,23.4
Jurong Island,2018,1,28,0.4,0.4,0.4,0.4,27.8,31.8,26,6.8,25.6
Jurong Island,2018,1,29,1.2,1.2,1.2,1.2,28.1,32,24.3,7.9,32.4
Jurong Island,2018,1,30,0,0,0,0,—,—,—,6.1,20.5
Jurong Island,2018,1,31,0,0,0,0,—,—,—,—,—
