Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2018,3,1,2,1.8,2,2,28.2,32.6,26,5.8,29.9
Jurong Island,2018,3,2,0,0,0,0,28.2,31.6,26.4,6.5,24.8
Jurong Island,2018,3,3,23.4,20,20.2,23.4,27.7,33.3,23.4,6.5,32.4
Jurong Island,2018,3,4,0.8,0.6,0.8,0.8,27.9,31.5,25.2,6.1,25.9
Jurong Island,2018,3,5,0,0,0,0,28.9,33.9,26.6,6.8,29.2
Jurong Island,2018,3,6,0.6,0.6,0.6,0.6,28.4,31.5,25.7,6.8,26.6
Jurong Island,2018,3,7,42.4,21.2,32.8,41.6,26.7,28,24.1,6.8,42.1
Jurong Island,2018,3,8,0,0,0,0,27.8,31.2,25.8,5.8,40.7
Jurong Island,2018,3,9,0,0,0,0,29.2,33.6,26.3,7.2,37.4
Jurong Island,2018,3,10,11,6.8,7.8,7.8,27.5,29.6,25,7.6,42.5
Jurong Island,2018,3,11,0,0,0,0,28.3,32.5,25.5,6.8,41.4
Jurong Island,2018,3,12,13.2,8.6,11.8,12.8,27.6,31,24.7,5.4,25.2
Jurong Island,2018,3,13,0.4,0.4,0.4,0.4,28.7,33.5,26.2,5.4,36
Jurong Island,2018,3,14,0,0,0,0,28.5,32.9,26.4,6.8,31.3
Jurong Island,2018,3,15,0,0,0,0,28.8,32.2,26.4,7.6,26.3
Jurong Island,2018,3,16,0,0,0,0,28.6,31.9,24,9,31
Jurong Island,2018,3,17,0,0,0,0,28.8,33,27,8.3,38.2
Jurong Island,2018,3,18,1,1,1,1,28.3,32.8,26.2,7.6,39.6
Jurong Island,2018,3,19,1.6,1.6,1.6,1.6,28.8,32.6,26.6,8.6,32.4
Jurong Island,2018,3,20,0,0,0,0,28.7,31.6,26.9,8.3,32.8
Jurong Island,2018,3,21,0,0,0,0,28.8,32.1,26.6,6.1,25.9
Jurong Island,2018,3,22,0,0,0,0,29.7,34.4,27.2,7.9,37.4
Jurong Island,2018,3,23,0,0,0,0,29.1,34,26.8,9.7,39.6
Jurong Island,2018,3,24,0.2,0.2,0.2,0.2,28.4,31.7,25.8,6.1,41
Jurong Island,2018,3,25,6.6,3.4,3.6,4.6,27.2,29.4,24.9,4.7,22.3
Jurong Island,2018,3,26,39.8,10.2,17,27.2,27.1,32,24,5.4,34.6
Jurong Island,2018,3,27,7.8,3,4,5.2,25.6,27.8,23.5,7.9,40.3
Jurong Island,2018,3,28,0,0,0,0,27.8,31.5,25.4,5.4,28.1
Jurong Island,2018,3,29,0,0,0,0,27.9,30.6,26.4,6.8,29.9
Jurong Island,2018,3,30,16,14.2,15.4,15.8,27.7,31.2,23.8,5.8,30.6
Jurong Island,2018,3,31,0,0,0,0,29.1,32.5,26.3,6.5,32.4
