Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,2,1,0,0,0,0,—,31.5,25.4,5.4,24.1
Jurong Island,2017,2,2,1.4,1.4,1.4,1.4,—,31.3,25,5.4,27.4
Jurong Island,2017,2,3,0,0,0,0,28.2,32.7,26,9,29.9
Jurong Island,2017,2,4,0,0,0,0,28.2,31.5,25.8,6.1,30.6
Jurong Island,2017,2,5,0,0,0,0,28.6,32.2,26.3,6.1,29.5
Jurong Island,2017,2,6,0,0,0,0,—,32.6,26.1,6.5,30.6
Jurong Island,2017,2,7,0,0,0,0,—,31.5,25.7,5.8,32.4
Jurong Island,2017,2,8,12.4,9.8,10.2,10.8,27.7,31.9,24.6,6.1,31.7
Jurong Island,2017,2,9,4.4,4.4,4.4,4.4,28.4,32.1,25.8,5.8,25.9
Jurong Island,2017,2,10,0.2,0.2,0.2,0.2,28.7,33.9,25.8,6.5,33.1
Jurong Island,2017,2,11,0,0,0,0,28.3,32.6,26.2,8.3,40.3
Jurong Island,2017,2,12,5.2,3.4,3.4,3.8,26.8,30.1,24.7,7.2,39.6
Jurong Island,2017,2,13,1.2,1.2,1.2,1.2,27,30.7,24.6,7.9,39.6
Jurong Island,2017,2,14,0,0,0,0,—,31.3,24.7,8.3,44.3
Jurong Island,2017,2,15,0.6,0.4,0.4,0.4,—,30.7,23.7,7.2,36.4
Jurong Island,2017,2,16,0.6,0.6,0.6,0.6,—,30.7,25.1,6.5,33.1
Jurong Island,2017,2,17,0,0,0,0,—,32.7,25.4,6.1,36
Jurong Island,2017,2,18,0,0,0,0,—,30.6,25.8,6.5,32.4
Jurong Island,2017,2,19,0,0,0,0,—,32.4,26,6.8,33.8
Jurong Island,2017,2,20,1.8,1,1,1.6,—,32.9,26,6.1,32
Jurong Island,2017,2,21,38.4,25.2,36.4,37.6,—,31.5,23,5,25.2
Jurong Island,2017,2,22,0.2,0.2,0.2,0.2,27.9,31.2,25.5,8.3,46.1
Jurong Island,2017,2,23,0,0,0,0,27.7,30.7,26.4,5.8,28.4
Jurong Island,2017,2,24,13,2.4,4,6.8,—,27.1,23.3,7.2,38.5
Jurong Island,2017,2,25,35.2,20.6,26.2,35,26.8,32.2,24.6,5,36.4
Jurong Island,2017,2,26,29.6,22.4,29.6,29.6,27.3,31.9,24.6,5.8,28.8
Jurong Island,2017,2,27,2.8,2.6,2.6,2.8,—,30.7,25.4,6.5,43.2
Jurong Island,2017,2,28,26.6,18.8,19.2,24.6,—,30.2,24.1,6.1,35.6
