Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2013,11,1,40.4,—,—,—,27.1,29,23.9,6.7,30.2
Jurong Island,2013,11,2,0,—,—,—,27.9,30.6,26.2,5.5,24.1
Jurong Island,2013,11,3,19.4,—,—,—,28,31.8,26,5.5,41.8
Jurong Island,2013,11,4,9,—,—,—,27.2,31.6,25.6,6.7,35.3
Jurong Island,2013,11,5,32.8,—,—,—,28.1,32.7,24.9,6.8,31
Jurong Island,2013,11,6,0.2,—,—,—,27.1,30.8,22.5,6.3,33.1
Jurong Island,2013,11,7,0,—,—,—,28.7,31.9,25.9,6.4,24.8
Jurong Island,2013,11,8,0,—,—,—,28.7,31.4,26.6,5.9,29.9
Jurong Island,2013,11,9,13.2,—,—,—,28.5,31.4,26.4,6.1,20.5
Jurong Island,2013,11,10,2.4,—,—,—,27.6,30.6,23.5,7.7,54.4
Jurong Island,2013,11,11,38,—,—,—,27.8,30.5,24.2,6.8,50.8
Jurong Island,2013,11,12,2,—,—,—,26.1,28.3,22.9,6,30.2
Jurong Island,2013,11,13,72.2,—,—,—,27.7,31.5,24.3,7.5,27
Jurong Island,2013,11,14,0.4,—,—,—,26.6,29.1,23.3,6.3,37.8
Jurong Island,2013,11,15,0,—,—,—,27.9,31.1,25.5,5.9,33.1
Jurong Island,2013,11,16,8,—,—,—,27.8,32.3,24.9,5.9,33.8
Jurong Island,2013,11,17,0,—,—,—,26.8,28.5,25.5,7.5,36.7
Jurong Island,2013,11,18,12.6,—,—,—,26.9,31.2,23.7,6.1,33.1
Jurong Island,2013,11,19,39,—,—,—,27.6,30.7,23.6,6.3,35.6
Jurong Island,2013,11,20,1,—,—,—,27.6,30.4,23.2,7.5,43.9
Jurong Island,2013,11,21,3.4,—,—,—,28.8,31.9,25.5,7.4,33.8
Jurong Island,2013,11,22,42,—,—,—,28.3,31.9,24.6,6.8,33.8
Jurong Island,2013,11,23,0,—,—,—,27.8,31.5,22.5,8.1,34.6
Jurong Island,2013,11,24,0.4,—,—,—,28.4,31.6,26.2,5.8,25.2
Jurong Island,2013,11,25,5.4,—,—,—,27.6,31.3,24.5,7,34.6
Jurong Island,2013,11,26,0,—,—,—,27.7,31.2,25.3,6.9,32.4
Jurong Island,2013,11,27,6.8,—,—,—,29,33.1,26.4,6.3,25.2
Jurong Island,2013,11,28,0.2,—,—,—,28,31.4,24.8,7,41.4
Jurong Island,2013,11,29,3.2,—,—,—,27.6,30.1,26.1,6,25.2
Jurong Island,2013,11,30,58.8,—,—,—,26.7,30.6,23.9,6.5,36.7
