Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2016,12,1,31.4,17.8,18.2,26.8,25.8,28.1,23.3,7.6,34.6
Jurong Island,2016,12,2,3.8,1.6,2.2,3,27.2,30.1,24.8,6.5,31.3
Jurong Island,2016,12,3,0.8,0.6,0.6,0.6,28.2,30.9,25.9,4,22.7
Jurong Island,2016,12,4,0,0,0,0,—,33.3,27.3,9,25.6
Jurong Island,2016,12,5,21,16,19,20,29.3,34.2,24.9,8.6,32.8
Jurong Island,2016,12,6,0.4,0.2,0.4,0.4,29.4,33.4,26.2,5.4,24.8
Jurong Island,2016,12,7,0,0,0,0,29.6,32.3,27.7,6.1,29.2
Jurong Island,2016,12,8,0,0,0,0,29.5,32.4,25.9,6.5,39.2
Jurong Island,2016,12,9,0,0,0,0,—,31.4,25.7,6.5,28.4
Jurong Island,2016,12,10,0,0,0,0,—,31.8,26,6.1,24.8
Jurong Island,2016,12,11,2,1.2,1.4,2,27.1,29.4,24.4,6.5,39.2
Jurong Island,2016,12,12,0,0,0,0,28.7,31.2,26,7.6,37.1
Jurong Island,2016,12,13,0.2,0.2,0.2,0.2,28.8,32.1,26.9,5.8,36
Jurong Island,2016,12,14,0,0,0,0,—,32.6,26.6,6.1,31.3
Jurong Island,2016,12,15,0,0,0,0,29.2,32.5,26.9,5.8,27.7
Jurong Island,2016,12,16,0,0,0,0,29.7,33.5,27.3,5,28.1
Jurong Island,2016,12,17,0,0,0,0,—,31.4,27.3,5,27
Jurong Island,2016,12,18,12,6.6,7.4,7.4,—,31.5,23.9,6.5,44.6
Jurong Island,2016,12,19,2,1.4,1.4,1.4,—,32.1,24.2,7.9,36.4
Jurong Island,2016,12,20,0,0,0,0,28.4,31.8,26,8.6,35.3
Jurong Island,2016,12,21,0,0,0,0,29.2,32.5,26.7,7.9,42.8
Jurong Island,2016,12,22,1,0.6,0.8,1,—,30.8,25.8,5.4,25.9
Jurong Island,2016,12,23,2.6,1.6,1.6,1.6,27.7,31.8,24.3,5.8,35.6
Jurong Island,2016,12,24,0.8,0.6,0.6,0.8,—,33.3,25.8,6.5,32
Jurong Island,2016,12,25,0.8,0.6,0.6,0.8,—,33.8,25.6,8.3,28.8
Jurong Island,2016,12,26,0,0,0,0,27.4,30.5,25.2,9.7,33.1
Jurong Island,2016,12,27,9.6,9.4,9.4,9.6,—,30,24.4,7.2,29.9
Jurong Island,2016,12,28,0.4,0.4,0.4,0.4,—,28.7,24.5,5,26.3
Jurong Island,2016,12,29,0,0,0,0,—,32.4,26.1,5,27.7
Jurong Island,2016,12,30,12,6,6.4,12,—,31.8,24.7,8.6,35.3
Jurong Island,2016,12,31,0,0,0,0,—,30.6,25,5.8,30.6
