Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2018,5,1,5.8,3.8,4.2,4.6,27.6,29.3,25.1,5.8,35.6
Jurong Island,2018,5,2,6.4,6,6.4,6.4,28.4,32,25.8,5.4,33.5
Jurong Island,2018,5,3,0,0,0,0,28.8,31.7,26.5,6.1,37.8
Jurong Island,2018,5,4,0.4,0.4,0.4,0.4,29.2,32.5,26.8,6.1,23.4
Jurong Island,2018,5,5,0,0,0,0,28.9,31.8,26.9,10.1,36.4
Jurong Island,2018,5,6,9,7,7.2,9,29.2,32.2,25.1,10.8,55.4
Jurong Island,2018,5,7,0,0,0,0,29.6,32.5,27,8.3,26.3
Jurong Island,2018,5,8,0,0,0,0,30.1,33.3,28,14,34.2
Jurong Island,2018,5,9,0,0,0,0,30.1,33.6,28.5,15.8,34.2
Jurong Island,2018,5,10,0,0,0,0,29.3,32.2,27.6,13.3,46.1
Jurong Island,2018,5,11,0,0,0,0,29.8,32.6,28.7,11.5,26.3
Jurong Island,2018,5,12,0.6,0.4,0.4,0.6,29.6,32.7,27.4,11.5,34.2
Jurong Island,2018,5,13,2.8,0.8,1.4,1.4,28.6,30.6,26.5,8.6,25.9
Jurong Island,2018,5,14,0.4,0.2,0.4,0.4,28.8,31.4,26.4,10.1,31.7
Jurong Island,2018,5,15,22.8,11.8,12.4,12.4,28.5,32.1,24.4,7.6,29.5
Jurong Island,2018,5,16,5.2,2,3.4,4.2,27.5,30.5,25.7,6.8,41.8
Jurong Island,2018,5,17,0,0,0,0,29.1,32.4,26.6,7.2,26.3
Jurong Island,2018,5,18,0.2,0.2,0.2,0.2,28.4,31.2,25.8,5.4,26.3
Jurong Island,2018,5,19,11,7.2,9.4,10.8,27.7,30.4,26.5,3.6,27
Jurong Island,2018,5,20,43.4,28.8,33.2,35.4,27.1,29.1,24.7,4.7,26.3
Jurong Island,2018,5,21,4.4,4.2,4.2,4.2,28.3,30.3,25.5,6.8,21.2
Jurong Island,2018,5,22,0,0,0,0,29.3,32,27.8,7.9,26.6
Jurong Island,2018,5,23,8.4,4,5.6,5.8,27.9,30.5,24.9,5.8,42.8
Jurong Island,2018,5,24,0.2,0.2,0.2,0.2,28.9,31.8,25.2,11.2,40.7
Jurong Island,2018,5,25,10.2,6.8,8.2,10.2,28.5,31,26.4,5.8,31.3
Jurong Island,2018,5,26,37.4,15.8,15.8,17,27,29,24.6,5.8,28.1
Jurong Island,2018,5,27,43.2,18,33.6,43,27.5,30,23.8,6.5,35.3
Jurong Island,2018,5,28,40,28.2,36.4,39.2,27.8,29.5,24.9,8.6,32.8
Jurong Island,2018,5,29,2,1.2,1.4,1.8,28.3,31.8,26.2,5.4,27.4
Jurong Island,2018,5,30,2.4,0.8,1,1,28,30.9,25.8,5.8,24.8
Jurong Island,2018,5,31,0.4,0.4,0.4,0.4,28,29.7,26.5,5.8,26.3
