Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,4,1,0.4,0.2,0.2,0.2,27.9,31.8,26,5,31.3
Jurong Island,2017,4,2,0,0,0,0,28.3,31.1,26.1,5.8,28.4
Jurong Island,2017,4,3,3.6,3,3,3.6,27.9,29.7,24.8,5.4,25.9
Jurong Island,2017,4,4,5,3.2,4.6,4.8,28.8,32.4,24.8,6.8,49.7
Jurong Island,2017,4,5,0.4,0.2,0.4,0.4,29.3,32.1,26.5,7.6,31.3
Jurong Island,2017,4,6,0,0,0,0,29.8,32.5,28,6.5,26.6
Jurong Island,2017,4,7,5.8,1.6,1.8,2.2,28.7,32.5,24.4,6.1,39.2
Jurong Island,2017,4,8,0.4,0.2,0.2,0.4,27.8,29.2,25.3,4.7,43.6
Jurong Island,2017,4,9,0,0,0,0,28.8,32.4,25.9,6.5,28.1
Jurong Island,2017,4,10,6.2,3,3.4,4.4,27.5,28.9,25.2,6.1,25.2
Jurong Island,2017,4,11,0,0,0,0,29.6,33.1,27.5,7.6,28.1
Jurong Island,2017,4,12,20.2,13.8,16.4,18.6,28.7,32,25.2,7.2,35.3
Jurong Island,2017,4,13,31.4,14.4,20.6,22,27.2,29.3,24.4,6.8,37.4
Jurong Island,2017,4,14,53.4,27,45.4,53.2,27.6,30.2,24.5,5.4,44.3
Jurong Island,2017,4,15,17.8,8,13.4,15.6,27.1,31.4,24.6,5,33.1
Jurong Island,2017,4,16,0,0,0,0,28.8,31.9,26.2,6.1,23.8
Jurong Island,2017,4,17,33.4,23.8,31,33,28.4,31.5,24,7.2,42.1
Jurong Island,2017,4,18,56.4,35.2,44,45.4,26.7,31.1,22.3,4.7,53.3
Jurong Island,2017,4,19,0.2,0.2,0.2,0.2,28.6,32.6,24.7,4.7,25.2
Jurong Island,2017,4,20,0,0,0,0,28.9,31.7,26.5,5.4,24.1
Jurong Island,2017,4,21,20,7.8,12.6,16.2,28.1,30.9,22.9,5.4,48.2
Jurong Island,2017,4,22,0.4,0.4,0.4,0.4,29,31.2,27.2,5.4,25.6
Jurong Island,2017,4,23,0,0,0,0,29.2,31.7,27.4,5.4,25.9
Jurong Island,2017,4,24,0,0,0,0,28.5,31.3,27.2,6.5,41.4
Jurong Island,2017,4,25,0,0,0,0,28,30.5,26.4,4.3,26.6
Jurong Island,2017,4,26,0.2,0.2,0.2,0.2,27.8,30.1,26.3,5.4,27.4
Jurong Island,2017,4,27,25.2,18.6,24.8,25,28.4,31.8,24.2,8.3,53.6
Jurong Island,2017,4,28,4,2.4,3,4,28.1,32.3,24.4,6.1,29.9
Jurong Island,2017,4,29,4.2,2.2,2.8,3.6,28.1,30.4,24.4,5.8,41
Jurong Island,2017,4,30,0,0,0,0,28.9,32,27.7,10.8,32.4
